,Epochs,Validation Accuracy,Setting,Validation Off-By-One Accuracy
406,17,0.1666666716337204,10 Recombinations,0.36666667461395264
407,18,0.20000000298023224,10 Recombinations,0.6333333253860474
408,19,0.2666666805744171,10 Recombinations,0.46666666865348816
409,20,0.1666666716337204,10 Recombinations,0.3333333432674408
410,21,0.20000000298023224,10 Recombinations,0.4000000059604645
411,22,0.20000000298023224,10 Recombinations,0.5
412,23,0.20000000298023224,10 Recombinations,0.5333333611488342
413,24,0.20000000298023224,10 Recombinations,0.6000000238418579
414,25,0.20000000298023224,10 Recombinations,0.3333333432674408
415,26,0.20000000298023224,10 Recombinations,0.5333333611488342
416,27,0.20000000298023224,10 Recombinations,0.5333333611488342
417,28,0.20000000298023224,10 Recombinations,0.5333333611488342
418,29,0.20000000298023224,10 Recombinations,0.5333333611488342
419,30,0.20000000298023224,10 Recombinations,0.5333333611488342
420,1,0.36666667461395264,10 Recombinations,0.7333333492279053
421,2,0.6000000238418579,10 Recombinations,0.8999999761581421
422,3,0.46666666865348816,10 Recombinations,0.800000011920929
423,4,0.6333333253860474,10 Recombinations,0.8999999761581421
424,5,0.2666666805744171,10 Recombinations,0.550000011920929
425,6,0.3333333432674408,10 Recombinations,0.6000000238418579
426,7,0.699999988079071,10 Recombinations,0.9333333373069763
427,8,0.5666666626930237,10 Recombinations,0.9166666865348816
428,9,0.5333333611488342,10 Recombinations,0.8333333134651184
429,10,0.5,10 Recombinations,0.8999999761581421
430,11,0.5333333611488342,10 Recombinations,0.9333333373069763
431,12,0.5333333611488342,10 Recombinations,0.9166666865348816
432,13,0.6000000238418579,10 Recombinations,0.949999988079071
433,14,0.5,10 Recombinations,0.9333333373069763
434,15,0.6000000238418579,10 Recombinations,0.9166666865348816
435,16,0.5,10 Recombinations,0.8333333134651184
436,17,0.6000000238418579,10 Recombinations,0.8666666746139526
437,18,0.5333333611488342,10 Recombinations,0.8500000238418579
438,19,0.4000000059604645,10 Recombinations,0.7833333611488342
439,20,0.46666666865348816,10 Recombinations,0.8500000238418579
440,21,0.46666666865348816,10 Recombinations,0.8666666746139526
441,22,0.5,10 Recombinations,0.8666666746139526
442,23,0.5666666626930237,10 Recombinations,0.8999999761581421
443,24,0.36666667461395264,10 Recombinations,0.800000011920929
444,25,0.3333333432674408,10 Recombinations,0.6499999761581421
445,26,0.36666667461395264,10 Recombinations,0.6833333373069763
446,27,0.36666667461395264,10 Recombinations,0.7166666388511658
447,28,0.36666667461395264,10 Recombinations,0.6833333373069763
448,29,0.3333333432674408,10 Recombinations,0.6666666865348816
449,30,0.4333333373069763,10 Recombinations,0.8166666626930237
450,1,0.36666667461395264,20 Recombinations,0.8166666626930237
451,2,0.5,20 Recombinations,0.9166666865348816
452,3,0.4000000059604645,20 Recombinations,0.8500000238418579
453,4,0.3333333432674408,20 Recombinations,0.7666666507720947
454,5,0.3333333432674408,20 Recombinations,0.7166666388511658
455,6,0.3333333432674408,20 Recombinations,0.6666666865348816
456,7,0.5,20 Recombinations,0.8166666626930237
457,8,0.2666666805744171,20 Recombinations,0.800000011920929
458,9,0.4333333373069763,20 Recombinations,0.8166666626930237
459,10,0.4000000059604645,20 Recombinations,0.7333333492279053
460,11,0.20000000298023224,20 Recombinations,0.4333333373069763
461,12,0.36666667461395264,20 Recombinations,0.7833333611488342
462,13,0.4333333373069763,20 Recombinations,0.7666666507720947
463,14,0.2666666805744171,20 Recombinations,0.7333333492279053
